date,close,open,high,low,volume
2025-07-11,57.71,57.0,59.02,56.96,1076428.94
2025-07-14,57.57,57.69,58.24,57.57,449057.62
2025-07-15,57.1,57.75,57.96,56.98,441725.53
2025-07-16,56.83,57.17,57.24,56.21,481824.6
2025-07-17,56.81,56.7,57.06,56.68,277123.43
2025-07-18,57.07,56.95,57.45,56.86,436239.95
2025-07-21,57.19,57.15,57.75,56.9,466733.43
2025-07-22,56.7,57.19,57.2,56.1,695203.25
2025-07-23,58.0,56.84,58.38,56.81,869406.74
2025-07-24,58.64,57.97,59.0,57.71,707737.38
2025-07-25,58.08,58.3,58.55,57.82,508334.57
2025-07-28,60.09,58.2,60.2,58.2,1221217.33
2025-07-29,59.49,60.06,60.28,59.37,566092.0
2025-07-30,60.71,59.48,61.33,59.35,921992.71
2025-07-31,58.69,60.41,60.5,58.38,827600.7
2025-08-01,58.2,58.68,59.06,58.08,488786.24
2025-08-04,58.21,58.1,58.34,57.85,360078.32
2025-08-05,59.14,58.3,59.41,58.2,482956.14
2025-08-06,59.06,59.14,59.64,58.82,324468.73
2025-08-07,58.88,59.11,59.46,58.53,327971.53
2025-08-08,58.54,58.88,58.9,58.22,397933.32
2025-08-11,58.47,58.77,59.14,58.47,431869.11
2025-08-12,58.75,58.47,59.07,58.47,426985.45
2025-08-13,58.61,58.92,59.4,58.46,728453.2
2025-08-14,59.62,58.8,60.6,58.77,1022767.51
2025-08-15,59.8,59.6,60.45,59.0,892968.11
2025-08-18,59.34,59.92,60.35,59.34,957262.82
2025-08-19,58.2,59.77,60.18,58.08,954809.96
2025-08-20,59.2,58.09,59.2,57.69,762724.84
2025-08-21,59.62,59.2,59.96,58.91,574600.93
2025-08-22,60.5,59.51,60.51,59.44,780974.27
2025-08-25,61.0,60.6,61.05,60.11,670112.68
2025-08-26,60.52,60.9,61.0,60.45,491986.28
2025-08-27,58.69,60.38,60.45,58.69,1064557.86
2025-08-28,58.84,58.75,59.12,58.31,636104.66
2025-08-29,59.88,58.95,61.1,58.94,1080309.23
2025-09-01,58.51,59.79,59.79,58.33,948524.89
2025-09-02,58.66,58.5,58.8,58.22,649036.33
2025-09-03,57.78,58.94,59.1,57.36,714746.42
2025-09-04,57.5,57.77,57.97,57.06,727436.07
2025-09-05,57.9,57.5,58.06,57.03,558184.27
2025-09-08,57.7,57.76,58.04,57.32,487733.39
2025-09-09,58.0,57.76,58.29,57.55,518911.44
2025-09-10,57.87,57.77,58.16,57.62,308469.74
2025-09-11,58.69,57.9,58.69,57.6,595072.07
2025-09-12,57.68,58.98,59.2,57.5,735376.27
2025-09-15,57.33,57.65,57.99,57.09,546842.42
2025-09-16,56.62,57.35,57.45,56.5,685713.61
2025-09-17,56.57,56.66,56.97,56.45,684651.87
2025-09-18,55.28,56.64,56.67,55.11,1012073.56
2025-09-19,55.1,55.29,56.0,55.0,543321.11
2025-09-22,55.15,55.37,55.65,55.0,374437.68
2025-09-23,55.02,55.03,55.79,54.74,612960.96
2025-09-24,55.29,55.29,55.75,54.95,503174.33
2025-09-25,55.09,55.28,55.39,55.03,514296.16
2025-09-26,55.22,55.02,55.55,54.66,548621.87
2025-09-29,56.01,55.18,57.32,55.03,1035109.92
2025-09-30,55.11,55.8,56.2,55.0,767081.87
2025-10-09,55.04,55.04,55.28,54.25,824067.48
2025-10-10,55.54,54.73,55.97,54.73,641465.32
2025-10-13,55.1,54.51,55.33,54.51,609655.98
2025-10-14,56.48,55.58,56.68,55.52,1022940.25
2025-10-15,57.81,56.48,57.97,56.3,837046.28
2025-10-16,58.02,57.68,58.58,57.61,681478.2
2025-10-17,57.28,58.0,58.48,57.17,677492.81
2025-10-20,57.9,58.33,58.57,57.45,526694.69
2025-10-21,58.08,57.93,58.92,57.93,762200.49
2025-10-22,58.21,58.0,58.5,57.93,379892.66
2025-10-23,58.75,58.22,58.87,58.09,503501.04
2025-10-24,57.88,58.14,58.49,57.75,558241.7
2025-10-27,57.75,58.0,58.39,57.5,685004.38
2025-10-28,57.76,57.79,58.23,57.62,491305.08
2025-10-29,58.95,58.6,59.7,58.49,1044431.61
2025-10-30,58.65,59.3,60.1,58.58,745712.83
2025-10-31,57.83,58.99,58.99,57.8,572541.54
2025-11-03,58.31,58.27,58.7,57.86,411430.33
2025-11-04,58.94,58.35,59.13,58.2,518126.0
2025-11-05,58.32,58.4,58.84,57.92,402157.85
2025-11-06,58.9,58.35,59.28,58.34,547345.99
2025-11-07,58.89,58.78,59.15,58.66,371910.41
2025-11-10,59.3,58.85,59.4,58.44,529487.21
2025-11-11,59.2,59.3,59.5,58.81,362503.76
2025-11-12,60.03,59.3,60.79,59.3,1490245.84
2025-11-13,60.88,60.29,61.38,60.29,890186.99
2025-11-14,60.65,60.85,62.27,60.65,752741.01
2025-11-17,59.83,60.69,61.0,59.46,560197.16
2025-11-18,59.62,59.67,60.15,59.48,445712.18
2025-11-19,60.37,59.8,61.12,59.71,705865.09
2025-11-20,60.2,60.6,61.15,60.03,394490.64
2025-11-21,58.91,60.0,60.1,58.88,685579.69
2025-11-24,58.4,59.16,59.2,58.35,534709.19
2025-11-25,59.47,58.68,59.82,58.23,487770.97
2025-11-26,59.78,59.66,60.22,59.32,434692.73
2025-11-27,59.34,59.5,59.73,58.7,505700.87
2025-11-28,58.99,59.21,59.29,58.51,433558.14
2025-12-01,58.63,58.91,59.18,58.41,445804.06
2025-12-02,58.8,58.8,59.4,58.45,373837.34
2025-12-03,58.35,58.75,59.02,58.15,335494.47
2025-12-04,58.55,58.35,58.55,58.21,217663.66
2025-12-05,61.99,58.65,62.2,58.55,1377948.27
2025-12-08,63.4,62.04,63.8,62.0,1029978.68
2025-12-09,62.45,63.4,63.69,62.42,483731.02
2025-12-10,62.55,62.66,63.06,62.13,448822.18
2025-12-11,62.53,62.8,63.36,62.17,477963.4
2025-12-12,63.91,62.56,64.09,62.41,1091760.25
2025-12-15,67.08,63.68,67.44,63.52,1546642.6
2025-12-16,67.0,66.71,68.11,66.16,1056821.34
2025-12-17,68.05,67.05,68.63,66.65,962117.78
2025-12-18,68.5,67.88,68.58,67.59,563605.9
2025-12-19,68.75,68.15,68.78,67.6,638476.43
2025-12-22,68.54,68.7,69.27,68.2,556942.01
2025-12-23,69.49,68.56,70.24,68.35,765719.91
2025-12-24,69.03,69.17,69.38,68.35,511319.5
2025-12-25,70.8,69.0,71.98,68.98,777898.13
2025-12-26,71.16,70.44,71.96,70.43,657016.77
2025-12-29,69.88,71.0,71.66,69.79,655665.18
2025-12-30,68.8,69.75,70.23,68.39,1046673.72
2025-12-31,68.4,68.78,69.23,68.15,458068.69
2026-01-05,72.36,69.2,73.0,69.2,1228831.0
2026-01-06,74.32,72.4,74.88,72.4,1468516.48
2026-01-07,73.45,73.89,74.7,73.29,919695.06
2026-01-08,70.38,73.37,73.4,69.66,1685391.73
2026-01-09,69.0,70.6,71.28,68.24,2063348.25
2026-01-12,67.55,68.9,69.0,67.22,1851661.18
2026-01-13,68.2,67.8,69.98,67.78,1502150.5
2026-01-14,67.0,68.35,68.93,66.82,1431109.0
2026-01-15,67.41,66.9,68.38,66.69,1066614.26
2026-01-16,66.33,67.6,67.94,65.8,1356099.94
2026-01-19,66.3,66.28,66.95,65.91,838681.06
2026-01-20,66.6,66.35,67.77,66.11,988499.99
2026-01-21,65.85,66.64,67.18,65.65,935402.13
2026-01-22,64.8,66.13,66.58,64.52,1143922.26
2026-01-23,63.9,65.2,65.48,63.66,1407698.83
2026-01-26,64.14,64.0,66.25,63.77,2013845.96
2026-01-27,65.31,64.31,66.35,64.27,1508841.05
2026-01-28,64.75,65.87,66.05,64.43,1992854.18
2026-01-29,68.0,65.03,68.03,64.53,2755713.32
2026-01-30,66.75,68.01,68.69,66.39,1603228.36
